Iteration          x(i)       f(x(i))) 
      1       1.57079633       1.00000000 
      2       1.00000000       0.84147098 
      3       0.84147098       0.74562414 
      4       0.74562414       0.67843048 
      5       0.67843048       0.62757183 
      6       0.62757183       0.58718100 
      7       0.58718100       0.55401639 
      8       0.55401639       0.52610708 
      9       0.52610708       0.50217068 
     10       0.50217068       0.48132936 
     11       0.48132936       0.46295790 
     12       0.46295790       0.44659659 
     13       0.44659659       0.43189843 
     14       0.43189843       0.41859566 
     15       0.41859566       0.40647776 
     16       0.40647776       0.39537655 
     17       0.39537655       0.38515571 
     18       0.38515571       0.37570345 
     19       0.37570345       0.36692700 
     20       0.36692700       0.35874869 
     21       0.35874869       0.35110286 
     22       0.35110286       0.34393359 
     23       0.34393359       0.33719292 
     24       0.33719292       0.33083939 
     25       0.33083939       0.32483701 
     26       0.32483701       0.31915433 
     27       0.31915433       0.31376371 
     28       0.31376371       0.30864077 
     29       0.30864077       0.30376392 
     30       0.30376392       0.29911391 
     31       0.29911391       0.29467358 
     32       0.29467358       0.29042751 
     33       0.29042751       0.28636186 
     34       0.28636186       0.28246412 
     35       0.28246412       0.27872296 
     36       0.27872296       0.27512812 
     37       0.27512812       0.27167024 
     38       0.27167024       0.26834079 
     39       0.26834079       0.26513197 
     40       0.26513197       0.26203663 
     41       0.26203663       0.25904820 
     42       0.25904820       0.25616062 
     43       0.25616062       0.25336833 
     44       0.25336833       0.25066617 
     45       0.25066617       0.24804936 
     46       0.24804936       0.24551349 
     47       0.24551349       0.24305445 
     48       0.24305445       0.24066842 
     49       0.24066842       0.23835183 
     50       0.23835183       0.23610138 
     51       0.23610138       0.23391395 
     52       0.23391395       0.23178665 
     53       0.23178665       0.22971676 
     54       0.22971676       0.22770173 
     55       0.22770173       0.22573918 
     56       0.22573918       0.22382684 
     57       0.22382684       0.22196262 
     58       0.22196262       0.22014452 
     59       0.22014452       0.21837066 
     60       0.21837066       0.21663926 
     61       0.21663926       0.21494866 
     62       0.21494866       0.21329727 
     63       0.21329727       0.21168360 
     64       0.21168360       0.21010621 
     65       0.21010621       0.20856378 
     66       0.20856378       0.20705502 
     67       0.20705502       0.20557871 
     68       0.20557871       0.20413372 
     69       0.20413372       0.20271895 
     70       0.20271895       0.20133334 
     71       0.20133334       0.19997592 
     72       0.19997592       0.19864573 
     73       0.19864573       0.19734187 
     74       0.19734187       0.19606349 
     75       0.19606349       0.19480976 
     76       0.19480976       0.19357990 
     77       0.19357990       0.19237315 
     78       0.19237315       0.19118880 
     79       0.19118880       0.19002617 
     80       0.19002617       0.18888460 
     81       0.18888460       0.18776345 
     82       0.18776345       0.18666212 
     83       0.18666212       0.18558004 
     84       0.18558004       0.18451664 
     85       0.18451664       0.18347140 
     86       0.18347140       0.18244380 
     87       0.18244380       0.18143336 
     88       0.18143336       0.18043959 
     89       0.18043959       0.17946204 
     90       0.17946204       0.17850028 
     91       0.17850028       0.17755388 
     92       0.17755388       0.17662244 
